AN_REFERENCIA;NM_MUNICIPIO_IES_CAPES;SG_UF_IES_CAPES;NM_REGIAO_IES_CAPES;NM_IES_CAPES;CD_IES_CAPES;SG_IES_CAPES;NM_NATUREZA_JURIDICA;SG_PROGRAMA_FOMENTO;CD_PROGRAMA;NM_PROGRAMA;NM_GRANDE_AREA;NM_AREA_AVALIACAO;NM_AREA_CONHECIMENTO;NM_NIVEL_PADRAO;QT_BOLSAS_CONCEDIDAS;TP_PROGRAMA
2022;MANAUS;AM;NORTE;UNIVERSIDADE DO ESTADO DO AMAZONAS;12008010;UEA;ESTADUAL;AE;12008010001P9;MEDICINA TROPICAL;CIÊNCIAS DA SAÚDE;MEDICINA II;DOENÇAS INFECCIOSAS E PARASITÁRIAS;DOUTORADO;3;ESTRATÉGICO
2022;BELÉM;PA;NORTE;UNIVERSIDADE FEDERAL DO PARÁ;15001016;UFPA;FEDERAL;AE;15001016015P0;DOENÇAS TROPICAIS;CIÊNCIAS DA SAÚDE;MEDICINA II;DOENÇAS INFECCIOSAS E PARASITÁRIAS;DOUTORADO;3;ESTRATÉGICO
2022;BELÉM;PA;NORTE;UNIVERSIDADE FEDERAL DO PARÁ;15001016;UFPA;FEDERAL;AE;15001016032P1;GENÉTICA E BIOLOGIA MOLECULAR;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS I;GENÉTICA;DOUTORADO;1;ESTRATÉGICO
2022;BELÉM;PA;NORTE;UNIVERSIDADE FEDERAL DO PARÁ;15001016;UFPA;FEDERAL;AE;15001016040P4;BIOLOGIA DE AGENTES INFECCIOSOS E PARASITÁRIOS;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS III;MICROBIOLOGIA;DOUTORADO;3;ESTRATÉGICO
2022;BELÉM;PA;NORTE;UNIVERSIDADE FEDERAL DO PARÁ;15001016;UFPA;FEDERAL;AE;15001016068P6;BIOTECNOLOGIA;MULTIDISCIPLINAR;BIOTECNOLOGIA;BIOTECNOLOGIA;DOUTORADO;1;ESTRATÉGICO
2022;FORTALEZA;CE;NORDESTE;UNIVERSIDADE FEDERAL DO CEARÁ;22001018;UFC;FEDERAL;AE;22001018004P8;QUÍMICA;CIÊNCIAS EXATAS E DA TERRA;QUÍMICA;QUÍMICA ORGÂNICA;DOUTORADO;1;ESTRATÉGICO
2022;FORTALEZA;CE;NORDESTE;UNIVERSIDADE FEDERAL DO CEARÁ;22001018;UFC;FEDERAL;AE;22001018006P0;BIOQUÍMICA;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS II;BIOQUÍMICA;DOUTORADO;2;ESTRATÉGICO
2022;FORTALEZA;CE;NORDESTE;UNIVERSIDADE FEDERAL DO CEARÁ;22001018;UFC;FEDERAL;AE;22001018021P0;ENFERMAGEM;CIÊNCIAS DA SAÚDE;ENFERMAGEM;ENFERMAGEM;DOUTORADO;2;ESTRATÉGICO
2022;FORTALEZA;CE;NORDESTE;UNIVERSIDADE FEDERAL DO CEARÁ;22001018;UFC;FEDERAL;AE;22001018025P5;SAÚDE PÚBLICA;CIÊNCIAS DA SAÚDE;SAÚDE COLETIVA;SAÚDE COLETIVA;DOUTORADO;1;ESTRATÉGICO
2022;FORTALEZA;CE;NORDESTE;UNIVERSIDADE FEDERAL DO CEARÁ;22001018;UFC;FEDERAL;AE;22001018031P5;CIÊNCIAS DA COMPUTAÇÃO;CIÊNCIAS EXATAS E DA TERRA;CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO;DOUTORADO;1;ESTRATÉGICO
2022;FORTALEZA;CE;NORDESTE;UNIVERSIDADE FEDERAL DO CEARÁ;22001018;UFC;FEDERAL;AE;22001018047P9;CIÊNCIAS MÉDICAS;CIÊNCIAS DA SAÚDE;MEDICINA I;MEDICINA;DOUTORADO;1;ESTRATÉGICO
2022;FORTALEZA;CE;NORDESTE;UNIVERSIDADE ESTADUAL DO CEARÁ;22003010;UECE;ESTADUAL;AE;22003010012P3;Cuidados Clínicos em Enfermagem e Saúde;CIÊNCIAS DA SAÚDE;ENFERMAGEM;ENFERMAGEM;DOUTORADO;2;ESTRATÉGICO
